Fd,Family,Type,Laddr,Raddr,Status,Pid,FamilyString,Timestamp,TypeString
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 135
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,1452,IPv6,2026-05-26T14:09:07Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 445
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,4,IPv6,2026-05-26T14:09:11Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 623
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,4700,IPv6,2026-05-27T02:53:51Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 3273
}","{
 ""IP"": ""2404:6800:4000:1006::5e"",
 ""Port"": 80
}",TIME_WAIT,0,IPv6,1601-01-01T00:00:00Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 4284
}","{
 ""IP"": ""2603:1040:a03:9::1b6"",
 ""Port"": 443
}",ESTAB,14540,IPv6,2026-05-27T02:55:11Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 6262
}","{
 ""IP"": ""2620:1ec:33::11"",
 ""Port"": 443
}",ESTAB,2968,IPv6,2026-05-27T03:04:20Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 6273
}","{
 ""IP"": ""2603:1063:2001:190d::365:ff1"",
 ""Port"": 443
}",ESTAB,4340,IPv6,2026-05-27T02:54:28Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 7635
}","{
 ""IP"": ""2401:4900:57c4:d2b3::9"",
 ""Port"": 53
}",SYN_SENT,2968,IPv6,2026-05-27T03:06:08Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 8834
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,5652,IPv6,2026-05-26T14:10:42Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 9316
}","{
 ""IP"": ""2401:4900:57c4:d2b3::9"",
 ""Port"": 53
}",TIME_WAIT,0,IPv6,1601-01-01T00:00:00Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 9551
}","{
 ""IP"": ""2603:1040:a06:8::421"",
 ""Port"": 443
}",ESTAB,2968,IPv6,2026-05-27T03:04:32Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 9997
}","{
 ""IP"": ""2404:6800:4000:100c::64"",
 ""Port"": 443
}",CLOSE_WAIT,1368,IPv6,2026-05-27T03:00:28Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 12876
}","{
 ""IP"": ""2401:4900:57c4:d2b3::9"",
 ""Port"": 53
}",SYN_SENT,2968,IPv6,2026-05-27T03:06:09Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 14972
}","{
 ""IP"": ""2401:4900:57c4:d2b3::9"",
 ""Port"": 53
}",ESTAB,2968,IPv6,2026-05-27T03:06:10Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 16894
}","{
 ""IP"": ""2401:4900:57c4:d2b3::9"",
 ""Port"": 53
}",SYN_SENT,2968,IPv6,2026-05-27T03:06:08Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 16992
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,4700,IPv6,2026-05-27T02:53:51Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 24467
}","{
 ""IP"": ""2606:4700:83b1:d8b7:9a43:ff:ccf5:ac50"",
 ""Port"": 443
}",ESTAB,1368,IPv6,2026-05-27T02:56:08Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 24961
}","{
 ""IP"": ""2401:4900:57c4:d2b3::9"",
 ""Port"": 53
}",ESTAB,2968,IPv6,2026-05-27T03:06:10Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 25849
}","{
 ""IP"": ""2401:4900:57c4:d2b3::9"",
 ""Port"": 53
}",TIME_WAIT,0,IPv6,1601-01-01T00:00:00Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 30770
}","{
 ""IP"": ""2603:1063:2001:2008::365:ff1"",
 ""Port"": 443
}",ESTAB,4340,IPv6,2026-05-27T02:54:25Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 34583
}","{
 ""IP"": ""2600:140f:ec00:19b::21c7"",
 ""Port"": 443
}",ESTAB,1368,IPv6,2026-05-27T02:56:53Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 37001
}","{
 ""IP"": ""2404:6800:4000:1025::bc"",
 ""Port"": 5228
}",ESTAB,1368,IPv6,2026-05-27T02:56:17Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 37566
}","{
 ""IP"": ""2401:4900:57c4:d2b3::9"",
 ""Port"": 53
}",TIME_WAIT,0,IPv6,1601-01-01T00:00:00Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 41468
}","{
 ""IP"": ""2600:1901:0:47fc::"",
 ""Port"": 443
}",ESTAB,1368,IPv6,2026-05-27T02:59:56Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 48305
}","{
 ""IP"": ""2401:4900:57c4:d2b3::9"",
 ""Port"": 53
}",TIME_WAIT,0,IPv6,1601-01-01T00:00:00Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 48484
}","{
 ""IP"": ""2401:4900:57c4:d2b3::9"",
 ""Port"": 53
}",TIME_WAIT,0,IPv6,1601-01-01T00:00:00Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 49418
}","{
 ""IP"": ""2603:1040:a06:6::"",
 ""Port"": 443
}",ESTAB,5144,IPv6,2026-05-27T02:54:27Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 49419
}","{
 ""IP"": ""2603:1040:a06:6::"",
 ""Port"": 443
}",ESTAB,5144,IPv6,2026-05-27T02:56:27Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 49664
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,1156,IPv6,2026-05-26T14:09:07Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 49665
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,600,IPv6,2026-05-26T14:09:07Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 49666
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,2024,IPv6,2026-05-26T14:09:08Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 49667
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,3368,IPv6,2026-05-26T14:09:09Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 49668
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,4088,IPv6,2026-05-26T14:09:10Z,TCP
0,23,1,"{
 ""IP"": ""::1"",
 ""Port"": 49669
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,4768,IPv6,2026-05-26T14:09:11Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 49706
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,1104,IPv6,2026-05-26T14:09:22Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 52215
}","{
 ""IP"": ""2600:140f:ec00::17df:f488"",
 ""Port"": 443
}",ESTAB,1368,IPv6,2026-05-27T03:04:20Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 52524
}","{
 ""IP"": ""2606:50c0:8001::153"",
 ""Port"": 443
}",ESTAB,4348,IPv6,2026-05-27T03:04:16Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 52679
}","{
 ""IP"": ""2600:140f:ec00::17df:f483"",
 ""Port"": 443
}",CLOSE_WAIT,5760,IPv6,2026-05-27T03:03:47Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 54808
}","{
 ""IP"": ""2401:4900:57c4:d2b3::9"",
 ""Port"": 53
}",SYN_SENT,2968,IPv6,2026-05-27T03:06:08Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 57713
}","{
 ""IP"": ""2620:1ec:33::11"",
 ""Port"": 443
}",ESTAB,2968,IPv6,2026-05-27T03:05:17Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 58461
}","{
 ""IP"": ""2a04:4e42:31::347"",
 ""Port"": 443
}",ESTAB,1368,IPv6,2026-05-27T02:56:18Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:57c4:d2b3:643e:3fdf:acc3:c645"",
 ""Port"": 65157
}","{
 ""IP"": ""2603:1040:a06:6::"",
 ""Port"": 443
}",ESTAB,16200,IPv6,2026-05-27T02:54:38Z,TCP
0,2,2,"{
 ""IP"": ""10.60.7.194"",
 ""Port"": 137
}","{
 ""IP"": """",
 ""Port"": 0
}",,4,IPv4,2026-05-27T02:54:24Z,UDP
0,2,2,"{
 ""IP"": ""192.168.56.1"",
 ""Port"": 137
}","{
 ""IP"": """",
 ""Port"": 0
}",,4,IPv4,2026-05-27T02:53:52Z,UDP
0,2,2,"{
 ""IP"": ""10.60.7.194"",
 ""Port"": 138
}","{
 ""IP"": """",
 ""Port"": 0
}",,4,IPv4,2026-05-27T02:54:24Z,UDP
0,2,2,"{
 ""IP"": ""192.168.56.1"",
 ""Port"": 138
}","{
 ""IP"": """",
 ""Port"": 0
}",,4,IPv4,2026-05-27T02:53:52Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 500
}","{
 ""IP"": """",
 ""Port"": 0
}",,4640,IPv4,2026-05-26T14:09:11Z,UDP
0,2,2,"{
 ""IP"": ""10.60.7.194"",
 ""Port"": 1900
}","{
 ""IP"": """",
 ""Port"": 0
}",,6360,IPv4,2026-05-27T02:54:24Z,UDP
0,2,2,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 1900
}","{
 ""IP"": """",
 ""Port"": 0
}",,6360,IPv4,2026-05-27T02:54:24Z,UDP
0,2,2,"{
 ""IP"": ""192.168.56.1"",
 ""Port"": 1900
}","{
 ""IP"": """",
 ""Port"": 0
}",,6360,IPv4,2026-05-27T02:54:24Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 4500
}","{
 ""IP"": """",
 ""Port"": 0
}",,4640,IPv4,2026-05-26T14:09:11Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5050
}","{
 ""IP"": """",
 ""Port"": 0
}",,8504,IPv4,2026-05-26T14:09:28Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,1368,IPv4,2026-05-27T02:56:03Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,3340,IPv4,2026-05-27T02:55:51Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,3340,IPv4,2026-05-27T02:55:51Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,13100,IPv4,2026-05-27T02:56:16Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,1368,IPv4,2026-05-27T02:56:03Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,1936,IPv4,2026-05-27T02:54:25Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,10752,IPv4,2026-05-27T02:54:57Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,10752,IPv4,2026-05-27T02:54:57Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,13100,IPv4,2026-05-27T02:56:16Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5355
}","{
 ""IP"": """",
 ""Port"": 0
}",,1936,IPv4,2026-05-27T02:54:25Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 50853
}","{
 ""IP"": """",
 ""Port"": 0
}",,10752,IPv4,2026-05-27T02:55:00Z,UDP
0,2,2,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 53388
}","{
 ""IP"": """",
 ""Port"": 0
}",,4624,IPv4,2026-05-26T14:09:11Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 54368
}","{
 ""IP"": """",
 ""Port"": 0
}",,10752,IPv4,2026-05-27T02:55:00Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 54370
}","{
 ""IP"": """",
 ""Port"": 0
}",,10752,IPv4,2026-05-27T02:55:00Z,UDP
0,2,2,"{
 ""IP"": ""192.168.56.1"",
 ""Port"": 55305
}","{
 ""IP"": """",
 ""Port"": 0
}",,6360,IPv4,2026-05-27T02:54:24Z,UDP
0,2,2,"{
 ""IP"": ""10.60.7.194"",
 ""Port"": 55306
}","{
 ""IP"": """",
 ""Port"": 0
}",,6360,IPv4,2026-05-27T02:54:24Z,UDP
0,2,2,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 55307
}","{
 ""IP"": """",
 ""Port"": 0
}",,6360,IPv4,2026-05-27T02:54:24Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 62856
}","{
 ""IP"": """",
 ""Port"": 0
}",,2968,IPv4,2026-05-27T03:05:46Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,1368,IPv4,2026-05-27T02:56:03Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,1368,IPv4,2026-05-27T02:56:03Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,3340,IPv4,2026-05-27T02:55:51Z,UDP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5353
}","{
 ""IP"": """",
 ""Port"": 0
}",,10752,IPv4,2026-05-27T02:54:57Z,UDP
